n,B,mean_length,median_length,sd_length,mean_diameter,median_diameter,sd_diameter,mean_ratio,median_ratio,sd_ratio,q05_ratio,q95_ratio,mean_length_sqrtn,median_length_sqrtn,mean_diameter_sqrtn,median_diameter_sqrtn,mean_penrose_lower_ratio
750,1000,13.091444441022187,13.1166400627852,0.6046246450715301,2.0843650428050964,2.062379998919425,0.2060204902786582,0.15928690037362697,0.15790382444767098,0.014656069421815354,0.13778080459354816,0.18571435487580668,0.47803196204489745,0.47895197607089546,0.07611025013463817,0.07530746983704328,0.0034306003897031996
800,1000,13.440474285963699,13.4445971764025,0.6210339636095439,2.0790342007796543,2.05584603148652,0.199296962997351,0.15476297519474755,0.1532010618753375,0.01388602796849368,0.13500373175833094,0.1793135879437903,0.47519252549841756,0.47533829168778585,0.07350495908450239,0.07268513349697854,0.003231827010296364
850,1000,13.8411585873153,13.892271276274,0.6301938278996859,2.1011820846538063,2.0771799486350746,0.21491945009274807,0.15185684202651062,0.150478405376483,0.01437677785846478,0.131017756314869,0.17715816890879726,0.4747478228915321,0.4765009736593813,0.07206995092898301,0.0712466844554609,0.0030554815112715543
900,1000,14.129655858007771,14.1462372711045,0.6552985904050829,2.082031306344633,2.0587956914550203,0.2008392605968513,0.147432302677168,0.14553726302668252,0.01339902827124334,0.12866924171780328,0.17215403716243985,0.470988528600259,0.47154124237015,0.0694010435448211,0.06862652304850067,0.0028979334406308076
950,1000,14.505704529072132,14.51419279697685,0.643497511211616,2.1045063573932072,2.08311660182097,0.20643315370364854,0.1451423552467901,0.1435468106940705,0.013338029589975719,0.1260538350838074,0.16902961468258362,0.4706272006418039,0.47090259641829235,0.0682792024150101,0.0675852271056965,0.0027562996561630664
1000,1000,14.824028896017975,14.8489008436293,0.6445737700047177,2.1049453503699898,2.0793004990721347,0.20399326982112645,0.14203014950963455,0.1408879367772885,0.012654345762009179,0.12373998779323131,0.16474859678410403,0.46877695411568165,0.4695634741586434,0.06656421657350321,0.06575325516992775,0.002628260884878466
1200,1000,16.048084289855222,16.0514073705876,0.7051247161578944,2.109831977130174,2.088446410634965,0.1943758587970854,0.13152808357678905,0.1306957067313295,0.011321196933042567,0.1141177834798463,0.15143519439924985,0.4632682892362858,0.4633642183140547,0.06090560299704931,0.06028825486841023,0.0022189331827004058
1400,1000,17.12221067689457,17.16446519224955,0.7399584810988507,2.121445317811913,2.10984123891632,0.1890059235968606,0.12396838858950383,0.1233865361696535,0.010476093155558492,0.10811871280798155,0.1420940052224986,0.45761032897930154,0.4587396284043195,0.05669801102877096,0.05638787897508237,0.0019225073333374836
1600,1000,18.180830448042876,18.199416958829,0.7798852651967216,2.136923750444003,2.117299981108305,0.1935147592209111,0.11757522754232402,0.116532640160318,0.009820941247686512,0.1029106099683632,0.13540862462840186,0.4545207612010719,0.45498542397072506,0.05342309376110007,0.05293249952770763,0.0016976268946757745
1800,1000,19.176714396934443,19.211767411178002,0.7973526967265782,2.135969325447416,2.12090448498628,0.18754960629836753,0.11142892482372196,0.11037891455391449,0.00919450546077178,0.09812983752268326,0.12818394081015602,0.451999493031668,0.4528257005007562,0.05034527981434412,0.04999019811942536,0.0015209993003184503
2000,1000,20.09435415652158,20.12282489072395,0.8363439732850042,2.1447495959838085,2.13020704271581,0.1871902668950357,0.1067611323183987,0.106415420352613,0.008524558589436345,0.09382286751715863,0.12133626662216254,0.44932341857937697,0.4499600435498353,0.04795805891335006,0.047632877536613494,0.0013784867119002347
2500,1000,22.16701906099634,22.187297017674098,0.9113113000539826,2.1541553065786063,2.146072982497045,0.18428186213099323,0.09722572135166312,0.09662190219150729,0.007902897809616654,0.08537282133317456,0.11087413272996244,0.44334038121992675,0.443745940353482,0.043083106131572124,0.0429214596499409,0.0011188598490146147
3000,1000,23.943503617757557,23.9729880844722,0.9592244780043522,2.1653918602445033,2.14708030904786,0.18068268965095377,0.0904732089773695,0.08984553157530455,0.0070744814532338485,0.08028794078817697,0.10280835029252504,0.43714656790507883,0.43768487815559953,0.03953446558979962,0.03920014393468921,9.431841794716358e-4
3500,1000,25.66810190618459,25.70883510811035,1.0298042284887072,2.1769441455182688,2.159504946042645,0.17764827138390712,0.084842658707953,0.08412067839878601,0.0064247447037958285,0.0752799526038333,0.09649725369630352,0.4338701107363411,0.4345586275146665,0.03679707213782199,0.03650229586510434,8.161891661227333e-4
4000,1000,27.246378045665956,27.26462661541575,1.0727340672332375,2.181596103286675,2.166763130381565,0.17547590240017977,0.08009968835108339,0.0796985231875238,0.0060475453087412675,0.07119097736160561,0.0901784196492724,0.4308030630715582,0.43109159829380717,0.0344940631046692,0.03425953321041064,7.19984793246619e-4
4500,1000,28.74623957529209,28.80827397483825,1.1248158426076835,2.1955307958421892,2.17863649816468,0.17641939458058215,0.07639922276440422,0.07575326061097835,0.005658902267338922,0.06830074694708707,0.08608625274744024,0.428523638585652,0.4294483928145093,0.03272904070798232,0.03247719538772213,6.445146580814876e-4
5000,1000,30.082689688437277,30.192074075435947,1.2108270750636323,2.210233827717653,2.19495201082852,0.17562747238624823,0.07350076283645873,0.07312450708092715,0.005421347826456704,0.0654253459666357,0.08292126820521578,0.4254334775004925,0.42698040633654644,0.03125742655174104,0.031041309024717897,5.836846131744861e-4
5500,1000,31.409384897867806,31.4498338670406,1.1741610659732,2.2099841749970963,2.1996027087639396,0.17084644412073535,0.07038548554468572,0.06990225561323099,0.005118995126138404,0.06289977845656376,0.07922709049333988,0.4235240595639502,0.4240694733530117,0.02979942053657968,0.02965943687444846,5.335830350066995e-4
6000,1000,32.632917237871325,32.6695888574289,1.1877009020809668,2.2196729125330483,2.2105578077574,0.16752566837856808,0.06803655616338426,0.067570836945963,0.004742487428922031,0.06117961763377196,0.07620048725831466,0.42128915000146866,0.4217625785742184,0.02865585408089403,0.028538178584243956,4.91582330286884e-4
