"n","simulation_run","seed","addario_hop_diameter","addario_num_vertices","addario_path_length"
3000,55,458,323,324,3.90718926601257
3000,56,459,269,270,3.4154711450263
3000,57,460,406,407,4.71500388890567
3000,58,461,326,327,4.03319577657166
3000,59,462,373,374,4.43637980885937
3000,60,463,421,422,4.91716831975064
3000,61,464,432,433,5.10079140478401
3000,62,465,363,364,4.4766993762097
3000,63,466,359,360,4.33573331851032
3000,64,467,411,412,4.97315346209243
3000,65,468,384,385,4.66923178449403
3000,66,469,276,277,3.39623654455713
3000,67,470,413,414,4.85290935970899
3000,68,471,428,429,5.06284775536946
3000,69,472,394,395,4.67034136178991
3000,70,473,383,384,4.57810393985138
3000,71,474,335,336,4.04242296605927
3000,72,475,348,349,4.25975213276394
3000,73,476,544,545,6.45476433292471
3000,74,477,365,366,4.35317456363339
3000,75,478,400,401,4.6539278023207
3000,76,479,338,339,4.10954888948715
3000,77,480,490,491,6.16677598222531
3000,78,481,339,340,4.12611462850442
3000,79,482,348,349,4.381935983803
3000,80,483,382,383,4.56253925475745
3000,81,484,518,519,6.04170600921625
3000,82,485,483,484,5.88374391107034
3000,83,486,331,332,4.13596644690838
3000,84,487,374,375,4.55373195375067
3000,85,488,391,392,4.59790017226283
3000,86,489,287,288,3.4810997249547
3000,87,490,348,349,4.114521030331
3000,88,491,421,422,5.09098668873776
3000,89,492,329,330,3.93134650846615
3000,90,493,360,361,4.38398582200409
3000,91,494,466,467,5.5789292817239
3000,92,495,405,406,4.81049687245549
3000,93,496,315,316,3.7568324947014
3000,94,497,368,369,4.48034883313891
3000,95,498,372,373,4.35954920472607
3000,96,499,388,389,4.62710173628069
3000,97,500,416,417,4.99495771632859
3000,98,501,433,434,5.28507384673774
3000,99,502,393,394,4.6911629759196
3000,100,503,491,492,5.94885290945733
4000,1,504,423,424,4.44157485289996
4000,2,505,366,367,3.82129847040003
4000,3,506,432,433,4.37196532193272
4000,4,507,389,390,4.12211643731028
4000,5,508,440,441,4.3860873807638
4000,6,509,399,400,4.16710101398645
4000,7,510,345,346,3.5578460340331
4000,8,511,366,367,3.67393021440592
4000,9,512,426,427,4.25650318412775
4000,10,513,410,411,4.01170821435783
4000,11,514,468,469,4.96822571109222
4000,12,515,410,411,4.15566644374998
4000,13,516,344,345,3.55999611176913
4000,14,517,412,413,4.28495295641072
4000,15,518,402,403,4.20313433660782
4000,16,519,480,481,4.79286984150641
