"n","simulation_run","seed","stringy_diameter","stringy_num_edges","stringy_num_vertices","penrose_diameter","penrose_num_edges","penrose_num_vertices","total_mst_length","stringy05"
3000,76,479,4.15741332313139,336,337,0.0298346368375353,1,2,35.7936605943027,0.116149431326762
3000,77,480,6.16677598222531,490,491,0.0294224775936531,1,2,36.1208932796191,0.170726009860472
3000,78,481,4.13631253153322,339,340,0.0424214725140834,1,2,36.4086253849763,0.113608038968701
3000,79,482,4.38193598380301,348,349,0.0318646893403079,1,2,36.235281529279,0.120930093512929
3000,80,483,4.56253925475745,382,383,0.0307868172396201,1,2,35.7404706739285,0.127657503349156
3000,81,484,6.04170600921626,518,519,0.0380701615473687,1,2,35.6634066208044,0.169409110953854
3000,82,485,5.88961578151048,483,484,0.0303517287494658,1,2,35.7881763638648,0.164568759291608
3000,83,486,4.13596644690838,331,332,0.0319536192278752,1,2,35.9961181595071,0.114900346436828
3000,84,487,4.55373195375068,374,375,0.0331674456435036,1,2,35.9301307931373,0.126738529841936
3000,85,488,4.59790017226282,391,392,0.0298135968561376,1,2,35.8113418060153,0.128392289715615
3000,86,489,3.4810997249547,287,288,0.0310081671955014,1,2,36.0081996813193,0.0966751949767891
3000,87,490,4.1207628761895,344,345,0.0428881646049806,1,2,35.5597920643597,0.115882648265528
3000,88,491,5.09098668873776,421,422,0.031523272924647,1,2,35.8075720085688,0.142176260583082
3000,89,492,3.93134650846615,329,330,0.0303659314537665,1,2,36.2297227078251,0.10851163670698
3000,90,493,4.39125302812475,357,358,0.0398301775385752,1,2,35.714296215624,0.122955048634101
3000,91,494,5.58443522052696,466,467,0.0357410223829958,1,2,35.9510345705331,0.155334478888799
3000,92,495,4.83785454470398,405,406,0.0329683693332985,1,2,35.6894045224439,0.135554364367767
3000,93,496,3.75807689481148,315,316,0.0305146995872741,1,2,36.028810100966,0.104307549549373
3000,94,497,4.53645817388103,365,366,0.0305468658787194,1,2,35.9172337886516,0.126303105650479
3000,95,498,4.36414340526542,372,373,0.0337337841264734,1,2,35.7937105866504,0.121924867071286
3000,96,499,4.63247494844092,388,389,0.0354385737404558,1,2,35.7637980683743,0.129529725550525
3000,97,500,5.02972550676159,408,409,0.0309774144346571,1,2,35.9243786051349,0.140008698885126
3000,98,501,5.29954627361015,433,434,0.0324835413227086,1,2,36.1454244483473,0.146617347962903
3000,99,502,4.69116297591961,393,394,0.0316371496706895,1,2,36.0353243766555,0.130182343494004
3000,100,503,5.95167066183415,490,491,0.0403848010254804,1,2,35.7213464596676,0.16661383883035
4000,1,504,4.44157485289996,423,424,0.0305556307710788,1,2,41.2846532298936,0.10758416276787
4000,2,505,3.82129847040003,366,367,0.0294105804305563,1,2,41.3437881239408,0.0924273910011465
4000,3,506,4.37515287793187,432,433,0.0319054517635635,1,2,41.4479877852234,0.105557666649662
4000,4,507,4.1328277975305,389,390,0.0295765407249464,1,2,41.2115948811694,0.100283131712015
4000,5,508,4.40653802660111,439,440,0.0269133647638648,1,2,41.3930899797672,0.106455884998076
4000,6,509,4.19778477386174,394,395,0.0269665610562147,1,2,41.5685418805445,0.100984652911928
4000,7,510,3.63287970466024,344,345,0.0326826671436107,1,2,40.9604178699089,0.0886924473328942
4000,8,511,3.79267095991435,359,360,0.0278403900770643,1,2,41.1626534082588,0.0921386413625464
4000,9,512,4.28112483771099,424,425,0.0292074494917867,1,2,41.7137983013372,0.102630904210268
4000,10,513,4.14324024871946,410,411,0.0291105305762694,1,2,40.9683157382,0.101132794308558
4000,11,514,4.96822571109221,468,469,0.0318590183450546,1,2,41.2773556673238,0.120362015220495
4000,12,515,4.15566644374998,410,411,0.0274116627828402,1,2,41.0851482591996,0.101147656022379
4000,13,516,3.57635759505459,343,344,0.0289581836652137,1,2,41.1933808564379,0.086818744193842
4000,14,517,4.29763485071571,412,413,0.03423853995543,1,2,41.2431380880902,0.104202421298217
4000,15,518,4.20703535815948,401,402,0.0292371342263269,1,2,41.1539749766327,0.102226707396995
4000,16,519,4.81451458310435,460,461,0.0282313265482801,1,2,41.1162259880986,0.117095245670114
4000,17,520,4.46760700130468,423,424,0.0302180391682703,1,2,41.0779643164282,0.108759211310721
4000,18,521,5.01809815185098,466,467,0.0362355809970314,1,2,41.0009539258029,0.122389790270049
4000,19,522,5.15430313261123,495,496,0.0350339715599783,1,2,41.3823074956407,0.124553304166381
4000,20,523,5.14062902566709,478,479,0.0298009483188598,1,2,41.4152937447326,0.124123930095773
4000,21,524,4.9632192618508,484,485,0.0270859785329809,1,2,41.3261918912591,0.120098635628234
4000,22,525,4.63868210909063,442,443,0.0309663406384899,1,2,41.4450622807366,0.111923637070915
4000,23,526,4.22091128925899,393,394,0.0307649848122992,1,2,41.3163926344758,0.102160692648102
4000,24,527,3.98468584803866,397,398,0.0327073952673707,1,2,41.3551056448259,0.0963529360137713
4000,25,528,5.07833549028668,469,470,0.0264753762314253,1,2,41.3402545160474,0.122842385702182
4000,26,529,5.01556429187621,475,476,0.0300699714138455,1,2,41.224030595373,0.121666033608057
