"n","simulation_run","seed","addario_hop_diameter","addario_num_vertices","addario_path_length"
600,12,515,157,158,4.41365949631333
600,13,516,109,110,2.93609246881956
600,14,517,155,156,4.27524966670892
600,15,518,153,154,4.22793852167776
600,16,519,129,130,3.1852795280625
600,17,520,145,146,3.86444866824603
600,18,521,110,111,3.0897814173297
600,19,522,146,147,3.98641520404925
600,20,523,117,118,3.28412138486984
600,21,524,158,159,4.37495902336219
600,22,525,144,145,4.01541258471333
600,23,526,133,134,3.6088912259159
600,24,527,136,137,3.68486644923676
600,25,528,166,167,4.72068214246222
600,26,529,132,133,3.56743381315326
600,27,530,144,145,3.86194578901787
600,28,531,121,122,3.17886563038556
600,29,532,125,126,3.63124870080476
600,30,533,132,133,3.28760928353946
600,31,534,118,119,3.20197162086901
600,32,535,163,164,4.55959322072996
600,33,536,136,137,3.64913225395564
600,34,537,156,157,4.37335648348709
600,35,538,122,123,3.38892471662517
600,36,539,140,141,3.73671005546388
600,37,540,127,128,3.47168814650788
600,38,541,163,164,4.55894664798911
600,39,542,140,141,3.79516833400864
600,40,543,147,148,4.16909869361564
600,41,544,143,144,3.67935097435498
600,42,545,162,163,4.48242591060261
600,43,546,135,136,3.79280102965892
600,44,547,107,108,3.10642030282789
600,45,548,128,129,3.30795255293551
600,46,549,108,109,2.9665720882497
600,47,550,134,135,3.78202506206224
600,48,551,166,167,4.53348441070921
600,49,552,135,136,3.66411706924585
600,50,553,170,171,4.73829285470152
600,51,554,141,142,3.85428805744257
600,52,555,137,138,3.76061738221282
600,53,556,159,160,4.29063706106188
600,54,557,145,146,3.8310385253981
600,55,558,139,140,3.46343652504082
600,56,559,140,141,3.6014310461977
600,57,560,131,132,3.46323947571418
600,58,561,125,126,3.44815226047294
600,59,562,130,131,3.66626976001631
600,60,563,146,147,3.85691846215017
600,61,564,115,116,3.14228023305074
600,62,565,105,106,3.03875327642409
600,63,566,132,133,3.59818711604638
600,64,567,138,139,4.14963968111448
600,65,568,126,127,3.53358884864999
600,66,569,155,156,4.392569260658
600,67,570,121,122,3.27639143362922
600,68,571,138,139,4.15344756242437
600,69,572,131,132,3.40808776575056
600,70,573,144,145,3.87391012314584
600,71,574,119,120,3.31206719383496
600,72,575,120,121,3.22653975212356
600,73,576,144,145,3.97415939743619
600,74,577,134,135,3.53937601390655
600,75,578,141,142,3.89291025570611
600,76,579,109,110,2.83244609661872
600,77,580,113,114,3.19878140427594
600,78,581,126,127,3.57617327376357
600,79,582,162,163,4.39998799292458
600,80,583,113,114,3.09188279839725
600,81,584,129,130,3.52351339645632
600,82,585,171,172,4.4848514757138
600,83,586,126,127,3.33068194136508
600,84,587,154,155,4.13679032613122
600,85,588,122,123,3.36663835497251
600,86,589,127,128,3.3639546356768
600,87,590,148,149,4.20090231331802
600,88,591,157,158,4.21966059391027
600,89,592,162,163,4.37736813281047
600,90,593,143,144,3.99339151079245
600,91,594,142,143,3.91798138875283
600,92,595,167,168,4.61664089211756
600,93,596,144,145,4.08075425768969
600,94,597,128,129,3.52463568068348
600,95,598,195,196,5.25343756828581
600,96,599,130,131,3.71661030135016
600,97,600,118,119,3.32591183199052
600,98,601,130,131,3.24064190215882
600,99,602,147,148,3.6569532343597
600,100,603,166,167,4.37524932739279
650,1,604,142,143,3.67876136966616
650,2,605,137,138,3.50488835003558
650,3,606,141,142,3.63381969691644
650,4,607,163,164,4.34491278371742
