"structure","run","seed","weighted_diameter","hop_diameter","mst_length","weighted_stringy","hop_stringy","difference"
"Degree 2 vs 3",68,1117,2.42535007721727,336,2.80443250753438,0.864827401159175,0.673346693386774,0.191480707772402
"Degree 2 vs 3",69,1118,2.57067828127508,347,2.94056027549481,0.87421376895344,0.695390781563126,0.178822987390314
"Degree 2 vs 3",70,1119,2.49778421211027,356,2.82842284489368,0.883101413432459,0.713426853707415,0.169674559725044
"Degree 2 vs 3",71,1120,2.47436146469991,347,2.88750381137476,0.856920588278584,0.695390781563126,0.161529806715458
"Degree 2 vs 3",72,1121,2.43659128023503,324,2.89554964321221,0.841495253223139,0.649298597194389,0.19219665602875
"Degree 2 vs 3",73,1122,2.5316732948358,337,2.93500767215639,0.862578084157356,0.675350701402806,0.187227382754551
"Degree 2 vs 3",74,1123,2.47206314335497,341,2.85674406016852,0.865342883817581,0.683366733466934,0.181976150350647
"Degree 2 vs 3",75,1124,2.43212330717677,328,2.84905136551105,0.853660743578943,0.657314629258517,0.196346114320426
"Degree 2 vs 3",76,1125,2.4691616743322,336,2.89416260472323,0.853152366181001,0.673346693386774,0.179805672794228
"Degree 2 vs 3",77,1126,2.48565527854059,350,2.85131529355961,0.871757425127643,0.701402805611222,0.170354619516421
"Degree 2 vs 3",78,1127,2.48571283454944,352,2.85244527246585,0.871432261485817,0.705410821643287,0.16602143984253
"Degree 2 vs 3",79,1128,2.45342498280009,337,2.8318636454744,0.86636409444392,0.675350701402806,0.191013393041114
"Degree 2 vs 3",80,1129,2.47880760955083,342,2.84691784002279,0.870698681466336,0.685370741482966,0.18532793998337
"Degree 2 vs 3",81,1130,2.45120602216454,339,2.84486170725178,0.861625721881743,0.67935871743487,0.182267004446873
"Degree 2 vs 3",82,1131,2.50431028140383,347,2.85850767408114,0.87609010257733,0.695390781563126,0.180699321014204
"Degree 2 vs 3",83,1132,2.4760713782738,343,2.84784723408711,0.869453722319312,0.687374749498998,0.182078972820314
"Degree 2 vs 3",84,1133,2.48390444365227,349,2.86358796225363,0.86740986356761,0.69939879759519,0.16801106597242
"Degree 2 vs 3",85,1134,2.46799749751338,344,2.85184871147426,0.865402672863932,0.68937875751503,0.176023915348902
"Degree 2 vs 3",86,1135,2.48591214689637,347,2.85623387784469,0.870346145733779,0.695390781563126,0.174955364170652
"Degree 2 vs 3",87,1136,2.4698646120064,338,2.86025761926661,0.863511242962685,0.677354709418838,0.186156533543847
"Degree 2 vs 3",88,1137,2.41912670612314,329,2.86746799836702,0.843645581223854,0.659318637274549,0.184326943949305
"Degree 2 vs 3",89,1138,2.48686573849525,337,2.88381842838744,0.862351704953159,0.675350701402806,0.187001003550353
"Degree 2 vs 3",90,1139,2.47783615047975,331,2.89512995212594,0.855863533400371,0.663326653306613,0.192536880093758
"Degree 2 vs 3",91,1140,2.52052965735356,358,2.82096406944698,0.893499383651377,0.717434869739479,0.176064513911898
"Degree 2 vs 3",92,1141,2.47214351694483,337,2.89566697677715,0.853738892203794,0.675350701402806,0.178388190800989
"Degree 2 vs 3",93,1142,2.51285616792161,346,2.90995311166232,0.863538370378119,0.693386773547094,0.170151596831024
"Degree 2 vs 3",94,1143,2.48819806434948,355,2.82980875310405,0.879281351299855,0.711422845691383,0.167858505608472
"Degree 2 vs 3",95,1144,2.51646290203682,361,2.82977366622391,0.889280627660524,0.723446893787575,0.165833733872949
